Humidity,Wind Speed (km/h),Visibility (km),Emission Rate,Start Size,UserIntensity
0.93,7.969500000000001,0.3381,9335.0,0.9510000000000001,13.950000000000001
0.93,4.524100000000001,0.805,9335.0,0.9510000000000001,13.950000000000001
0.93,4.7012,0.805,9335.0,0.9510000000000001,13.950000000000001
0.99,3.0107000000000004,0.7245,9905.0,0.9929999999999999,14.85
1.0,4.7495,0.483,10000.0,1.0,15.0
1.0,7.824600000000001,0.322,10000.0,1.0,15.0
1.0,9.6278,0.3059,10000.0,1.0,15.0
1.0,3.1395,0.322,10000.0,1.0,15.0
0.96,3.0268,0.322,9620.0,0.972,14.399999999999999
0.97,2.7853000000000003,0.161,9715.0,0.9789999999999999,14.549999999999999
0.96,3.22,0.161,9620.0,0.972,14.399999999999999
1.0,3.22,0.161,10000.0,1.0,15.0
1.0,3.1878,0.161,10000.0,1.0,15.0
1.0,3.22,0.161,10000.0,1.0,15.0
1.0,4.5724,0.2737,10000.0,1.0,15.0
1.0,3.1717,0.0,10000.0,1.0,15.0
1.0,3.22,0.0,10000.0,1.0,15.0
1.0,4.8139,0.1127,10000.0,1.0,15.0
1.0,7.808499999999999,0.0,10000.0,1.0,15.0
