Rainfall,WindGustSpeed,WindX,WindY,EmissionRate,UserIntensity
0.6,44.0,-44.0,-0.0,512.9251700680272,0.020408163265306152
1.0,41.0,-41.0,-0.0,523.265306122449,0.0367346938775511
0.2,56.0,-51.737254,21.430272,502.5850340136054,0.0040816326530611945
1.4,28.0,-28.0,-0.0,533.6054421768707,0.05306122448979588
2.2,31.0,11.863186,28.640266,554.2857142857143,0.0857142857142858
15.6,61.0,-61.0,-0.0,900.6802721088435,0.6326530612244897
3.6,44.0,-31.112698,-31.112698,590.4761904761905,0.14285714285714288
16.8,63.0,-63.0,-0.0,931.7006802721089,0.6816326530612247
10.6,43.0,16.455388,-39.72682,771.4285714285714,0.4285714285714286
1.2,50.0,-46.193977,19.134172,528.4353741496599,0.044897959183673494
0.8,39.0,-39.0,-0.0,518.0952380952381,0.028571428571428536
0.8,61.0,-23.343689,56.356651,518.0952380952381,0.028571428571428536
0.6,98.0,-69.296465,69.296465,512.9251700680272,0.020408163265306152
6.4,52.0,-48.041736,19.899538,662.8571428571429,0.25714285714285723
0.2,56.0,-39.59798,-39.59798,502.5850340136054,0.0040816326530611945
0.4,37.0,26.162951,-26.162951,507.7551020408163,0.012244897959183673
3.0,41.0,15.690021,-37.879061,574.9659863945578,0.11836734693877551
0.2,57.0,-52.661133,21.812956,502.5850340136054,0.0040816326530611945
1.2,44.0,31.112698,31.112698,528.4353741496599,0.044897959183673494
5.8,31.0,28.640266,11.863186,647.3469387755102,0.23265306122448987
3.0,69.0,-48.790368,-48.790368,574.9659863945578,0.11836734693877551
11.6,39.0,-36.031302,14.924654,797.2789115646259,0.46938775510204084
0.4,30.0,27.716386,11.480503,507.7551020408163,0.012244897959183673
1.8,33.0,-30.488025,-12.628553,543.9455782312925,0.06938775510204083
8.6,98.0,-98.0,-0.0,719.7278911564625,0.346938775510204
12.6,43.0,-43.0,-0.0,823.1292517006802,0.510204081632653
8.4,46.0,-46.0,-0.0,714.5578231292517,0.3387755102040816
6.2,20.0,-18.477591,-7.653669,657.687074829932,0.2489795918367348
20.0,70.0,-70.0,-0.0,1014.421768707483,0.8122448979591836
21.0,63.0,-24.109056,58.204411,1040.2721088435374,0.8530612244897958
3.2,26.0,-18.384776,18.384776,580.1360544217687,0.1265306122448979
4.8,35.0,-32.335784,13.39392,621.4965986394558,0.19183673469387755
1.8,52.0,-52.0,-0.0,543.9455782312925,0.06938775510204083
4.2,19.0,19.0,0.0,605.9863945578231,0.1673469387755102
0.8,20.0,-20.0,-0.0,518.0952380952381,0.028571428571428536
1.2,13.0,9.192388,-9.192388,528.4353741496599,0.044897959183673494
1.4,13.0,9.192388,-9.192388,533.6054421768707,0.05306122448979588
4.8,13.0,9.192388,-9.192388,621.4965986394558,0.19183673469387755
8.0,13.0,12.010434,4.974885,704.2176870748299,0.32244897959183666
0.2,11.0,10.162675,-4.209518,502.5850340136054,0.0040816326530611945
14.4,30.0,-11.480503,27.716386,869.6598639455783,0.5836734693877552
4.6,33.0,-30.488025,12.628553,616.3265306122449,0.18367346938775517
2.0,43.0,-43.0,-0.0,549.1156462585034,0.07755102040816322
5.6,37.0,-34.183543,14.159287,642.1768707482993,0.2244897959183673
0.4,13.0,12.010434,-4.974885,507.7551020408163,0.012244897959183673
1.6,46.0,42.498458,17.603438,538.7755102040817,0.06122448979591845
5.6,19.0,13.435029,-13.435029,642.1768707482993,0.2244897959183673
6.0,41.0,37.879061,-15.690021,652.5170068027211,0.24081632653061225
4.4,46.0,32.526912,-32.526912,611.156462585034,0.1755102040816326
5.4,22.0,-22.0,-0.0,637.0068027210884,0.2163265306122449
3.6,26.0,18.384776,18.384776,590.4761904761905,0.14285714285714288
2.0,72.0,-50.911688,50.911688,549.1156462585034,0.07755102040816322
8.4,52.0,-36.769553,36.769553,714.5578231292517,0.3387755102040816
5.0,54.0,-49.889495,20.664905,626.6666666666666,0.19999999999999993
7.8,61.0,-61.0,-0.0,699.047619047619,0.3142857142857143
0.2,13.0,12.010434,-4.974885,502.5850340136054,0.0040816326530611945
0.6,24.0,16.970563,16.970563,512.9251700680272,0.020408163265306152
0.6,33.0,-12.628553,30.488025,512.9251700680272,0.020408163265306152
1.0,41.0,-37.879061,15.690021,523.265306122449,0.0367346938775511
6.8,30.0,-30.0,-0.0,673.1972789115646,0.273469387755102
